"0101"	"0102"	"0103"	"0104"	"0105"	"0106"	"0107"	"0108"	"0109"	"0112"	"0113"	"0114"	"0115"	"0122"	"0125"	"0126"	"0128"	"0130"	"0201"	"0202"	"0203"	"0204"	"0207"	"0208"	"0210"	"0212"	"0213"	"0215"	"0217"	"0219"	"0224"	"0226"	"0301"	"0307"	"0312"	"0318"	"0319"	"0320"	"0321"	"0324"	"0326"	"0329"	"0401"	"0402"	"0403"	"0407"	"0408"	"0409"	"0410"	"0411"	"0412"	"0413"	"0415"	"0416"	"0417"	"0418"	"0419"	"0420"	"0421"	"0422"	"0423"	"0424"	"0425"	"0427"	"0428"	"0429"	"0430"	"0501"	"0504"	"0505"	"0506"	"0507"	"0509"	"0510"	"0512"	"0520"	"0522"	"0524"	"0525"	"0526"	"0527"	"0529"	"0530"	"0531"	"0601"	"0602"	"0603"	"0604"	"0605"	"0606"	"0607"	"0608"	"0609"	"0610"	"0611"	"0612"	"0613"	"0615"	"0617"	"0618"	"0619"	"0622"	"0623"	"0624"	"0625"	"0626"	"0627"	"0628"	"0629"	"0630"	"0701"	"0702"	"0703"	"0704"	"0705"	"0706"	"0707"	"0708"	"0709"	"0710"	"0711"	"0712"	"0713"	"0715"	"0716"	"0717"	"0719"	"0720"	"0722"	"0723"	"0724"	"0728"	"0729"	"0730"	"0731"	"0801"	"0802"	"0803"	"0804"	"0805"	"0806"	"0807"	"0808"	"0809"	"0810"	"0811"	"0812"	"0813"	"0814"	"0815"	"0821"	"0822"	"0823"	"0824"	"0901"	"0902"	"0903"	"0909"	"0910"	"0911"	"1007"	"1008"	"1009"	"1010"	"1011"	"1012"	"1013"	"1014"	"1015"	"1019"	"1021"	"1022"	"1026"	"1027"	"1028"	"1029"	"1030"	"1031"	"1102"	"1104"	"1106"	"1107"	"1109"	"1110"	"1112"	"1113"	"1114"	"1115"	"1116"	"1117"	"1118"	"1120"	"1121"	"1122"	"1123"	"1124"	"1126"	"1127"	"1129"	"1203"	"1204"	"1205"	"1207"	"1208"	"1209"	"1210"	"1211"	"1212"	"1213"	"1214"	"1215"	"1217"	"1218"	"1219"	"1220"	"1223"	"1224"	"1225"	"1226"	"1227"	"1228"	"1230"	"1231"
923.9	4000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	3000	3500	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	3000	3950	3000	4000	4000	4000	3000	4000	3000	3000	4000	4000	3000	923.9	900	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	2000	3000	1100	4000	4000	3000	2000	1100	4000	4000	3000	2000	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	2000	3000	1500	4000	4000	4000	4000	4000	3000	2000	4000	4000	4000	3000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3950	3000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	3000	3500	3000	3000	3000	3000	3000	1000	3000	1500	4000	4000	4000	4000	4000	3000	3000	3000	3000	4000	3000	3000	4000	4000	4000	4000	4000	3000	3000	4000	3000	3000	4000	4000	3000	1100	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	3000	1100	1500	3000	3000	3000	1500
923.9	4000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	3000	3500	3000	4000	4000	4000	3000	4000	3000	3000	4000	4000	3000	900	900	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	2000	3000	1100	4000	4000	3000	1500	1100	4000	4000	3000	2000	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	2000	3000	1500	4000	4000	4000	4000	4000	3000	2000	4000	4000	4000	3000	3000	4000	4000	4000	3950	3000	4000	4000	4000	4000	4000	3500	3000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	3000	3000	3000	3000	3000	3000	3000	1000	3000	1500	4000	4000	4000	4000	4000	3000	3000	3000	3000	4000	3000	3000	4000	4000	4000	4000	4000	3000	3000	4000	3000	3000	4000	4000	3000	1100	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	3000	1100	1500	3000	3000	3000	1500
923.9	4000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	3000	3000	3000	4000	4000	4000	3000	4000	3000	3000	4000	4000	3000	900	900	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	2000	3000	1100	4000	4000	3000	1500	1100	4000	4000	3000	1500	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	2000	3000	1500	4000	4000	4000	4000	4000	3000	2000	4000	4000	4000	3000	3000	4000	4000	4000	3950	3000	4000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	3000	3000	3000	3000	3000	3000	3000	923.9	3000	1500	4000	4000	4000	4000	4000	3000	3000	3000	3000	4000	3000	3000	4000	4000	4000	4000	4000	3000	3000	4000	3000	3000	4000	4000	3000	1100	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	3000	1100	1500	3000	3000	3000	1500
900	4000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	3000	3000	3000	4000	4000	4000	3000	4000	3000	3000	4000	4000	3000	900	900	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	1500	3000	1100	4000	4000	3000	1500	1100	4000	4000	3000	1500	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	2000	3000	1500	4000	4000	4000	4000	4000	3000	2000	4000	4000	4000	3000	3000	4000	4000	4000	3500	3000	4000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	3000	3000	3000	3000	3000	3000	3000	923.9	3000	1500	4000	4000	4000	4000	4000	3000	3000	3000	3000	4000	3000	2500	4000	4000	4000	4000	4000	3000	3000	4000	3000	3000	4000	4000	3000	1100	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	2000	1100	1500	3000	3000	3000	1100
900	4000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	3000	3000	3000	4000	4000	4000	3000	4000	3000	3000	4000	4000	3000	900	900	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	1500	3000	1100	4000	4000	3000	1500	1000	4000	4000	3000	1500	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	2000	3000	1500	4000	4000	4000	4000	4000	3000	2000	4000	4000	4000	3000	3000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	3950	3000	4000	4000	4000	4000	4000	3000	3000	3000	3000	3000	3000	3000	3000	923.9	3000	1100	4000	4000	4000	4000	4000	3000	3000	3000	3000	4000	3000	2000	4000	4000	4000	4000	4000	3000	2000	4000	3000	3000	4000	4000	3000	1100	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	3000	4000	4000	4000	3000	3500	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	2000	1100	1100	3000	3000	3000	1100
900	4000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	3000	3000	3000	4000	4000	4000	3000	4000	3000	3000	4000	4000	3000	900	900	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	1500	3000	1100	4000	4000	3000	1500	1000	4000	4000	3000	1500	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	1500	3000	1100	4000	4000	4000	4000	4000	3000	2000	4000	4000	4000	3000	3000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	3950	3000	4000	4000	4000	4000	4000	3000	2000	3000	3000	3000	3000	3000	3000	923.9	3000	1100	4000	4000	4000	4000	4000	3000	3000	3000	3000	4000	3000	2000	4000	4000	4000	4000	4000	3000	2000	4000	3000	3000	4000	4000	3000	1100	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	3000	4000	4000	4000	3000	3500	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	2000	1100	1100	3000	3000	3000	1100
900	4000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	3000	3000	3000	4000	4000	4000	3000	4000	3000	3000	4000	4000	3000	900	900	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	1500	3000	1100	4000	4000	3000	1500	1000	4000	4000	3000	1500	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	1500	3000	1100	4000	4000	4000	4000	4000	3000	2000	4000	4000	4000	3000	3000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	3950	3000	4000	4000	4000	4000	4000	3000	2000	3000	3000	3000	3000	3000	3000	923.9	3000	1100	4000	4000	4000	4000	4000	3000	3000	3000	3000	4000	3000	1500	4000	4000	4000	4000	4000	3000	2000	4000	3000	3000	4000	4000	3000	1100	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	3000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	1500	1100	1100	3000	3000	3000	1100
900	4000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	3000	3000	3000	4000	4000	4000	3000	4000	3000	3000	4000	4000	3000	900	900	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	1500	3000	1100	4000	4000	3000	1100	1000	4000	4000	3000	1500	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	1500	3000	1100	4000	4000	4000	4000	4000	3000	2000	4000	4000	4000	3000	2000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	3500	3000	4000	4000	4000	4000	4000	3000	2000	3000	3000	3000	3000	3000	3000	923.9	3000	1100	4000	4000	4000	4000	4000	3000	3000	3000	3000	4000	3000	1500	4000	4000	4000	4000	4000	3000	1500	4000	3000	3000	4000	4000	3000	1100	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	3000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	1500	1100	1100	3000	3000	3000	1100
900	4000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	4000	3000	4000	4000	3000	3000	3000	4000	4000	4000	3000	4000	3000	3000	4000	4000	3000	900	853	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	1500	3000	1100	4000	4000	3000	1100	923.9	4000	4000	3000	1100	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	1500	3000	1100	4000	4000	4000	4000	4000	3000	2000	4000	4000	4000	3000	2000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	3000	4000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	3000	3000	4000	4000	4000	4000	4000	3000	2000	3000	3000	3000	3000	3000	3000	923.9	3000	1100	4000	4000	4000	4000	4000	3000	3000	3000	3000	4000	3000	1500	4000	4000	4000	4000	4000	3000	1500	4000	3000	3000	4000	4000	3000	1100	4000	4000	4000	3000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	4000	4000	3000	4000	4000	3000	4000	4000	4000	3000	3000	3000	4000	4000	4000	4000	4000	3000	4000	4000	4000	3000	1500	1100	1100	3000	3000	3000	1100
